220eff20-afcb-452d-9c49-79a749b9df79|Le Louis XV - Alain Ducasse à l'Hôtel de Paris|France|Monaco|Place du Casino, Monaco, 98000, France|43,739184|7,427105|100,00|false|true|Mediterranean Cuisine, Modern Cuisine
b7f116a5-4861-4ec1-8222-6aef5f77b375|L'Ambroisie|France|Paris|9 place des Vosges, Paris, 75004, France|48,855494|2,364522|100,00|false|false|Classic Cuisine
2f670e5b-1270-4b7a-9772-60cbeed6a4fb|Flocons de Sel|France|Megève|1775 route du Leutaz, Le Leutaz, Megève, 74120, France|45,830240|6,596963|100,00|false|true|Modern Cuisine
e13a6d6d-3186-476e-b5fe-4ed969bf4011|Épicure|France|Paris|Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France|48,871722|2,314598|100,00|false|true|Modern Cuisine
6d831af3-f4da-4520-a16b-f4578cd8d63d|Arpège|France|Paris|84 rue de Varenne, Paris, 75007, France|48,855754|2,317013|100,00|false|true|Creative
13c1eb2a-3b25-47bd-a800-b9fcf06dbe3c|Le Pré Catelan|France|Paris|Route de Suresnes - bois de Boulogne, Paris, 75016, France|48,863937|2,250718|100,00|false|true|Creative, Contemporary
a2e3bc70-a42e-44ec-899f-c93a4aa0e014|Le Cinq|France|Paris|Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France|48,868760|2,300861|100,00|false|true|Modern Cuisine
69bf68aa-e20c-49c0-a03b-2882de040fe5|Le Petit Nice|France|Marseille|Anse de Maldormé, Marseille, 13007, France|43,280257|5,352048|100,00|false|false|Seafood
28bd53f3-fead-4f9b-8634-6caa90696b28|Kei|France|Paris|5 rue du Coq-Héron, Paris, 75001, France|48,864395|2,342285|100,00|false|true|Modern Cuisine, Creative
53a74df8-5671-4684-91f5-0ccd18233869|L'Oustau de Baumanière|France|Les Baux-de-Provence|Mas de Baumanière, Les Baux-de-Provence, 13520, France|43,740266|4,787363|100,00|false|true|Creative
ca3995ce-f669-49ea-8edb-6104e264ea1b|Plénitude - Cheval Blanc Paris|France|Paris|8 quai du Louvre, Paris, 75001, France|48,858815|2,342159|100,00|false|false|Creative
a21808b9-5753-43a3-aa83-b5e135f875e6|AM par Alexandre Mazzia|France|Marseille|9 rue François-Rocca, Marseille, 13008, France|43,270110|5,386233|100,00|false|false|Creative
ca423fbf-87af-41b3-a7ba-ae8a0ebec277|Pic|France|Valence|285 avenue Victor-Hugo, Valence, 26000, France|44,917688|4,885560|100,00|false|true|Creative
